gene,abundance
cspB,27185
cspD,26545
rplL,23622
rplU,19173
hag,18102
rpsN,15333
rplD,14481
yweA,12297
rplV,11979
rpsF,11325
rpsP,9646
rplW,9185
hbs,9070
tuf,8788
rpsT,8715
rplF,8346
rplO,8097
ptsH,8090
rpsH,8089
yxkC,8060
rplC,7636
rpsO,7461
rplP,6815
rplE,6752
rplT,6664
gapA,6565
rplX,6294
rpmD,6209
yukE,6167
groS,6102
groL,5893
rplS,5875
rpsK,5620
rpmA,5611
rpsG,5578
rpsD,5476
rpsC,5463
rpsU,5247
rpsE,5199
rpmC,4987
rpmJ,4969
rplA,4838
yrbF,4710
ahpC,4676
rplR,4658
rpsM,4515
ilvC,4465
rplN,4312
mdh,4271
rpsL,4268
rpsS,4259
rpsQ,4216
soj,4191
rplK,4152
ylqB,4133
tsf,4087
tig,4048
rpmI,4028
rplQ,3887
rplJ,3861
rpsB,3715
tsr,3641
rplM,3603
fusA,3560
eno,3411
rpsR,3309
citL,3175
glyA,3145
rpmGA,3031
sodA,2993
icd,2899
tasA,2877
rpsJ,2816
acpA,2726
yugI,2713
pdhC,2710
BSU29750,2663
tpiA,2660
BSU13180,2648
rplB,2638
greA,2628
atpF,2613
dnaK,2526
trxA,2500
prsA,2371
mtnD,2358
tal,2280
sucC,2279
yceD,2233
cysK,2204
bdhA,2190
pgk,2183
infC,2163
pdhB,2154
ypfD,2087
ssbA,2064
yjlC,2043
pel,1989
rpsI,1981
artP,1976
resD,305
yhdP,305
mcpB,301
gltT,301
lutP,301
azr,300
pdxK,300
dhaS,299
hmoB,299
serS,298
opuAA,297
secY,296
htpG,295
ykvS,295
alaS,295
sin,294
htpX,293
artQ,293
abh,293
yfhH,292
yqhS,292
wprA,289
ftsX,288
yxiE,285
treP,285
hisS,282
yrpE,282
nifU,282
pyrAA,282
yitJ,281
yugG,281
cysH,281
ywrO,279
bfmB2,279
ywqI,278
ywlF,278
purN,278
hfq,277
acoC,277
BSU29670,276
mcpC,275
rnjB,275
speE,274
ftsE,274
yqjY,273
argS,272
phoE,269
yfmS,269
crh,268
opuAC,268
ytoQ,268
epr,267
sigA,267
Bsubs1_010100008566,266
clpY,266
metG,266
dhbA,265
nudF,265
yqxJ,265
accA,264
yxbC,263
ypjQ,262
galE,260
flgK,259
tms,259
thiS,258
aroB,257
yhfK,256
fabZ,255
pepT,255
yfkO,254
fliF,254
sdpI,253
ybxB,253
metN,251
sufS,251
ykoF,250
motA,250
valS,250
ltaS1,250
bioK,249
purM,247
yddJ,246
ywqH,245
ytiB,244
qoxD,244
mpr,242
aprA,242
yjqA,241
yjcJ,240
iolW,239
yxbA,238
lytR,237
mntR,235
cheW,234
ywhD,234
pbuG,233
asnB,232
speH,231
hisD,231
feuA,231
yydF,230
metP,228
misCA,227
yvcT,226
glyS,226
rbsB,226
yurT,225
ykzF,224
ysdC,224
ypwA,223
yutB,223
dapG,222
aroK,221
atpB,221
amyR,221
ymfF,219
dctA,219
dppE,219
BSU37010,218
rluB,218
ampS,218
ylqC,218
ymcA,217
ddl,217
engB,217
sdpB,216
ktrC,216
yoaW,216
rocA,215
yurQ,214
rocD,213
yoaB,213
yfkK,212
mreC,212
yfmT,210
gcvT,209
folB,208
hemL,208
ykpA,208
bfmBAA,207
yhdG,207
ylmE,206
opuCA,206
ywfH,205
nadK2,205
yvqK,205
sppA,205
sepF,205
purF,204
sipT,204
yetH,203
pdp,203
argD,202
comN,202
yttA,202
yvlA,200
BSU22320,200
dhbC,198
pyrD,198
rnjA,198
yvzF,197
yrvD,197
ispF,197
rsbT,197
prfB,196
ydjI,196
sdpA,196
ydaG,196
ywfI,196
mgtE,194
yqeG,194
glpX,193
ypgR,193
yfhB,191
qoxC,191
sdhC,190
ywqK,190
ybdN,189
tlpB,189
ykuP,189
queF,189
hslO,188
xkdM,188
minD,188
yktB,187
gyrA,187
yutD,186
panB,185
ytzB,185
ypmQ,185
hemB,184
yukC,184
yusU,184
spo0A,184
dhbE,183
argB,183
ybdO,182
cspR,181
murB,181
cshB,181
mtnU,180
pncA,180
map,179
topA,178
yqgV,178
murD,177
ltaS2,177
yueB,177
dltC,177
glpD,177
thiE,176
prkC,176
gidA,176
rnpA,175
yqgf,175
ispG,174
yomK,173
xseB,172
ctaF,171
yvhJ,171
trmB,171
Bsubs1_010100017341,171
sipS,170
ylxF,169
rimM,169
bfmBAB,169
phoP,169
purK,168
ynzC,168
xkdK,167
mtnE,167
BSU34890,167
nrdE,167
nrnA,167
penP,167
yutE,166
yjaX,166
pncB,165
ycsF,164
gcvPB,164
yerA,164
opuCC,164
maeA,163
yrdA,162
rnc,162
lysA,162
fruA,161
hisZ,161
appC,161
ydjE,161
yueH,161
rasP,160
yerH,159
yydI,159
lexA,158
yclM,158
salA,158
hemAT,158
cdaR,157
Bsubs1_010100009306,157
bfmBC,156
yxeM,156
ypjD,156
cysS,156
nusB,154
rbfA,154
ylmA,153
pepA,153
ffh,152
qcrB,152
yqeK,152
ftsY,152
ydaF,151
yfmJ,151
yozV,151
yutF,151
murAA,150
nucA,150
liaI,150
spoVC,150
rph,149
gyrB,149
rsbRB,149
etfB,149
ykvY,148
ywiB,148
carB,148
ywsB,147
argH,147
yvcI,147
BSU21600,146
obg,146
murE,146
yvrD,146
ydjH,146
yjjA,146
hemH,145
rbgA,144
yonS,144
yuiD,144
pyrB,143
nsrR,143
mapB,143
murC,143
tyrA,143
putC,142
kduI,141
purR,141
thrB,141
fmt,141
tdh,141
csrA,141
ytkA,140
ywcG,140
moaE,140
maf,140
yobK,140
sigW,139
mtnW,139
dapF,139
yobJ,138
ykoD,138
cheV,138
yvbI,138
spoIIQ,137
yhdR,137
xis,137
ohrB,137
ylxM,137
licB,137
oppC,136
skfC,135
yhfI,135
panC,134
pyrK,134
ypmS,134
acoL,134
glpK,133
oxdC,133
srfAD,133
yjcQ,133
ykuU,132
cah,132
comEA,132
ycdI,132
yycF,131
htrA,131
ycsD,130
ctpA,130
yrvJ,130
patA,130
purT,129
yqfL,129
argC,129
yojF,129
gabD,129
ftsA,129
ylzA,128
trpS,127
yjdI,127
yvbH,127
yczJ,126
sufA,126
yqhT,126
mgsA,126
mecA,125
thrZ,125
ywpF,125
speB,124
ybfQ,124
ohrR,124
yugP,124
bioD,123
ykoC,123
yvgL,123
tsaE,123
ilvE,123
kapB,123
lepA,122
ydgI,122
acsA,121
yqiS,121
etfA,121
yoaD,121
glpF,121
hisF,121
yozI,120
nrdF,120
nrdR,120
yvdC,120
ytzI,120
ybeC,119
ybcI,119
ypmA,119
gcvPA,119
ccdB,119
msrA,119
est,118
yqaE,118
bioYB,118
tcdA,118
argR,118
ysmA,118
ywdI,117
sirB,117
coaE,117
yhdL,117
yvaP,116
yrdC,116
cheN,116
celF,115
yhbJ,115
yvyC,115
yjcH,115
yfiT,115
ydjO,115
yfiP,115
yfmG,115
yxjI,114
yaaR,114
ypmB,114
jag,114
miaB,113
ylyB,113
plsY,113
ysmB,113
yueD,112
ymfH,112
ribT,112
spo0J,112
ansB,112
purU,112
fliW,111
perR,111
opuCD,111
ywtE,111
yoaF,111
nadR,111
fadE,110
yxbD,110
ylmB,110
kbl,110
motB,110
nagP,110
ydeO,109
yqkF,109
ybeY,109
dltA,109
yfjR,109
ywjG,108
yslB,108
bsaA,108
yhzC,108
yhcB,107
ymdB,107
yrzA,107
Bsubs1_010100007321,107
plsX,107
glnH,107
liaH,106
ydeJ,106
yxeH,106
yacD,106
ysnB,106
ecsA,105
lon1,105
pnbA,105
ywkB,105
rbsD,105
der,105
ytrF,105
yqjZ,105
cheR,105
Bsubs1_010100019311,104
ydbS,104
yrrN,104
yodJ,104
yqgX,104
ywnA,104
yukJ,104
lytB,104
ymaD,103
ydiR,103
murF,103
nupG,103
era,103
suhB,103
degS,103
smpB,103
tag3,102
yaaA,102
oppB,102
yydJ,102
gpsA,102
relA,102
ypbE,102
naiP,102
bioY,101
BSU31250,101
sucD,1968
metQ,1902
frr,1893
glnA,1850
pdxS,1838
gsiB,1807
pdhA,1794
clpP,1751
rpoA,1720
rpmF,1710
purS,1693
xynA,1637
rplI,1602
BSU21540,1601
yvzB,1592
odhB,1566
yjcG,1542
rpmE,1534
cysC,1519
dps,1518
tkt,1513
yqeY,1511
efp,1476
sufC,1465
yncM,1427
serA,1413
ptsG,1404
accB,1386
ppaC,1375
lrgA,1357
hom,1341
abrB,1332
spoVG,1326
pyk,1324
ywhB,1322
atpD,1314
dapH,1297
tpx,1295
yvyD,1292
thiA,1281
BSU16750,1278
nadE,1255
yxjG,1245
ycdA,1229
guaB,1227
atpA,1214
ykzG,1204
ilvH,1201
purH,1196
thiG,1181
mtnX,101
guaC,100
yqfO,100
yrzL,100
yoaJ,99.9
yodB,99.8
yukD,99.5
gsaB,99.3
proA,99.2
nrgB,99.2
fliY,98.9
yfkM,98.1
pbpB,97.5
bacD,97.2
rocG,97
appF,97
yvcA,96.8
ctaD,96.8
yaaL,96
yckB,95.9
bioW,95.7
ycgA,95.5
alsD,95.4
xynC,95.3
dapB,95.3
rpmG2,95.2
gntZ,95.1
yflS,94.7
yhcN,94.6
yneK,94.5
tatAc,94.4
yhfE,94
yqkJ,93
sspA,92.4
sspC,91.7
ycxR,91.5
carA,91.5
Bsubs1_010100002333,91.5
malR,91.4
ypoP,91.2
sspB,91.2
yutJ,90.7
hemC,90.2
tmk,90.2
padR,89.8
yitM,89.6
ypdA,89.5
yqbM,89.3
yhaM,89.3
yulF,89.1
ylbN,89.1
xre,88.7
yvcJ,88.6
ydeS,88.3
ywlG,88.3
flhP,87.9
ctaE,87.9
yhaA,87.9
thiF,87.8
lytF,87.8
sdaAA,87.7
clpQ,87.6
yneP,87.5
lplJ,86.9
ypuA,86.7
veg,86
ligA,86
yjbC,85.9
frlD,85.8
rodD,85.5
nadB,85.4
cotE,85.3
ywnH,85.1
minC,85
yhjA,85
pgpH,84.8
yvsH,84.7
mhqR,84.7
msrB,84.7
ysdB,84.7
ymaB,84.5
comA,84.5
xkdG,84.5
csoR,84.1
bpr,83.6
moaB,83.6
yuaI,83.2
yqbC,83.1
lytE,83.1
ytjP,83
yrkL,82.7
yoaC,82.5
yesJ,82.5
tgt,82.3
yuiF,82.3
sipW,82.2
yitI,82.2
fadB,82.2
ggaB,82.1
yrhF,81.8
yncF,81.6
ydhK,81.5
polA,81
upk,81
namA,80.6
yydD,80.5
clpE,80.3
ydhF,80.2
opuBD,80
alsS,79.9
yknZ,79.9
phoH,79.9
ykrK,79.8
sspE,79.3
bmrA,78.8
ykrA,78.6
yjcF,78.5
fra,78.4
ytqB,78.2
fruK,78.2
pit,78.1
dnaA,78.1
ygaC,77.9
rapF,77.9
rnr,77.8
paiA,77.7
rsmH,77.6
yhaP,77.6
dltD,77.5
gamA,77.5
ybfJ,77.3
yabA,77.2
ytkD,76.8
glyQ,76.7
comZ,76.7
ywqD,76.6
comEB,76.5
yvrC,76.5
ywjA,76.4
ymfN,76.2
ispH,76.2
ribE,76
treA,75.9
ypbS,75.7
rapK,75.7
yhgE,75.7
prpC,75.7
phoR,75.6
rsmG,75.6
pbuX,75.5
nprE,75
ycgT,74.9
ctaC,74.8
ylaI,74.8
yfmR,74.7
ywhA,74.1
bglS,73.7
cinA,73.7
Bsubs1_010100012711,73.5
yugH,73.4
topB,73.4
thiT,73.2
yezE,73.2
lipM,73.1
ndoA,73
yvrN,72.9
opuBA,72.3
bioI,72.1
cdd,72
yfhK,71.7
yaaT,71.6
bacB,71.4
ytwF,71.4
yjcM,71.2
degV,71
yvmB,71
yqiG,70.9
yvdT,70.9
murZ,70.8
yqeH,70.6
yloV,70.2
ytrE,70.1
sigH,69.9
ppaX,69.8
yopQ,69.8
hemE,69.7
yocH,69.6
ribBA,69.5
yybR,69.5
cysE,69.5
yisK,69.5
arsC,69.5
ccpN,69.4
yddK,69.2
rtp,68.9
yoaE,68.8
opuCB,68.6
spoIIAB,68.5
nfo,68.5
yuxK,68.2
qcrC,68.1
yqeZ,68.1
yhfF,68
fapR,67.6
sdaAB,67
yjcP,67
Bsubs1_010100011101,66.9
dhbF,66.9
yozE,66.8
ydbJ,66.8
nadD,66.6
rbsA,66.5
flgC,66.5
yabN,66.4
lgt,66.1
glvA,65.9
flhA,65.9
ywjB,65.6
phoB,65.6
ispE,65.5
bsn,65.4
yybM,65.4
yydC,65.4
yjbM,65.3
ydjN,65.3
rlmH,65.3
uvrA,65.3
ylyC,65.2
yocK,64.9
yitL,64.8
rsiW,64.8
hprK,64.8
ytcI,64.7
divIB,64.7
oppD,64.4
rpe,64.3
queA,64.2
secE,64.2
slrR,64.1
yfiR,63.9
ylzI,63.9
yxiF,63.8
spoIVA,63.8
gamP,63.7
buk,63.7
Bsubs1_010100001088,63.6
fadR,63.3
yciB,63.3
yusV,63
yydB,62.9
udk,62.7
Bsubs1_010100008556,62.7
dck,62.7
ypiB,62.4
yvyE,62.4
ykhA,62.4
yybN,62.3
ykwD,61.8
gbsR,61.8
bdbA,61.7
noc,61.5
nagA,61.4
cssR,61.2
yhaI,61.1
yjbN,61.1
ytpQ,60.7
ywnB,60.6
yitS,60.6
racX,60.6
ytoP,60.6
yacO,60.5
pabA,60.4
tagH,60.4
yrrB,60.2
ydbD,59.9
ansA,59.7
patB,59.4
yosP,59.3
ytxK,59.2
rbsC,59
pcrA,58.9
ypuD,58.8
yfhM,58.8
amhX,58.6
acyP,58.5
murG,58.3
mtlF,58
csn,57.8
ylmG,57.6
rapB,57.5
mleN,57.5
rsbRC,57.4
yuaF,57.3
yocS,57.3
appD,57.2
lytD,57
yclP,57
ydgF,56.9
yqfB,56.8
BSU21570,56.7
yteJ,56.6
yneN,56.6
ureC,56.5
ylmD,56.4
yhdN,56.4
ybfF,56.4
spoIIID,56.2
ydbM,56.1
yvyF,55.7
ylbO,55.3
yokE,55.3
ydiS,55.3
yoaA,55.2
queC,55.1
ymxC,55.1
sigX,55.1
levE,54.9
yybA,54.7
ybgG,54.5
ywlE,54.4
rnhA,54.4
ksgA,54.1
ydfG,54.1
yopH,53.8
cdaA,53.6
dxr,53.5
ywnG,53.5
ruvA,53.4
rsbX,53.4
rghR,53.2
yufO,53.2
pbpD,53.1
cadA,53
yhfT,52.9
recM,52.9
sigB,52.7
yheG,52.5
rsmE,52.5
spxA,52.3
yraI,51.8
ywzH,51.6
dagK,51.3
yhcW,51.2
bshC,51.2
skfA,50.9
dinB,50.9
yvlD,50.9
yunF,50.7
yphF,50.7
yhaQ,50.6
folK,50.6
yshB,50.4
phoD,50.2
thiO,50.2
mdxE,50.1
misCB,50.1
kipI,50.1
thiM,50.1
zosA,50
metA,50
pbpH,49.9
yxzC,49.9
ylxP,49.8
yrrL,49.7
yfjA,49.5
htrB,49.3
ykuN,49.2
yhfO,49.1
polX,49
ypsC,48.9
iscS1,48.8
ykuR,48.7
yhcI,48.5
yceF,48.3
yshD,48.2
prmA,48.2
yflK,48.2
yrrO,48.1
ywpJ,48.1
yqiD,48.1
rsbS,48.1
yfmM,47.9
yshE,47.8
putP,47.7
fliG,47.6
yocD,47.6
efeU,47.5
yjdB,47.3
mntA,47.3
yxeK,47.2
tenI,47.2
skfG,47.1
yuxO,47
yxiG,46.9
yhcH,46.6
dppA,46.6
ycnL,46.6
gerQ,46.4
yjcK,46.4
prkA,46.3
ydbB,46.2
yhxA,46.2
ureA,46.1
trmK,46.1
defA,46.1
yugK,46.1
yxaP,46
proB,45.8
katE,45.7
msmX,45.7
murI,45.7
ydhI,45.7
thyA2,45.6
yhbE,45.5
iolB,45.4
ygxA,45.4
maa,45.3
yuzB,45.3
yoeB,45.2
ybdZ,45.2
bglA,45.2
yrkD,45.1
tcyB,45
yisL,44.9
tsaB,44.8
scpB,44.7
yvaF,44.7
fadH,44.6
nrdI,44.5
yycG,44.4
yfhJ,44.3
ylbG,44.3
yqkK,44.3
yszB,44.2
ywqC,44
mtaB,44
yabD,44
yxaM,44
mfd,43.8
yvrH,43.8
bacC,43.6
glcK,43.4
yisT,43.4
iolC,43.3
yfkI,43.2
licA,43.1
ytbQ,43
pcp,42.8
ytkP,42.6
yjzH,42.6
ung,42.5
yycH,42.5
BSU25660,42.2
galM,42.2
ribC,42.1
ywqJ,42.1
parE,42
rho,42
oppF,42
ywkD,41.9
csaA,41.7
yfjC,41.7
Bsubs1_010100002243,41.7
smc,41.7
cggR,41.6
Bsubs1_010100005266,41.5
dal,41.5
yloA,41.5
gltC,41.4
yjcS,41.2
albA,41.1
galK,41
yncB,40.7
yqxC,40.7
rlmN,40.7
bglH,40.5
ygzB,40.5
ydcC,40.5
ywzC,40.5
flhO,40.3
ywhC,40.3
mcsB,40.3
ureB,40.3
xepA,40.1
pksS,39.7
padC,39.6
mcsA,39.6
alsT,39.6
yaaN,39.5
yjbI,39.5
nfrA2,39.3
iolR,39.3
ydcI,39.3
gabP,39.3
ydeM,39.2
uvr,39.2
ndoAI,39.2
fadN,39.1
rapJ,39.1
yueC,39.1
rpmB,1175
ycdH,1171
gndA,1163
oppA,1162
sufD,1151
rpmH,1148
yceE,1139
cheY,1138
flgG,1128
leuB,1125
sdpC,1122
ykoE,1121
thrC,1118
adk,1116
folD,1103
qoxA,1099
ftsH,1099
pta,1091
yhaH,1085
sdhA,1074
purA,1073
yqfA,1064
nin,1063
yabJ,1062
ytxH,1051
yknW,1040
ptsI,1040
gapB,1019
xpt,1017
aspB,1017
yneF,1017
gcvH,1014
fabG,996
citB,992
ctc,989
fer,985
yjlD,978
grpE,967
pgi,967
divIVA,965
ald,961
yfhC,960
ytsJ,960
cspC,954
yhzA,945
infA,931
yaaK,910
ftsZ,894
purB,892
ppiB,889
ybdP,39.1
bhlA,38.9
yhfP,38.9
ydgH,38.8
glpP,38.8
yscB,38.7
yflO,38.7
proI,38.7
ywbO,38.7
gld,38.5
parC,38.5
fbp,38.5
pksC,38.4
yccF,38.4
gspA,38.3
rsgA,38.3
yojN,38.3
ykzS,38.2
ybdS,38.2
dxs,38
ytrA,38
mraZ,38
yxzF,37.7
tcyP,37.6
yhcX,37.5
yqaR,37.5
yjbK,37.5
ytoA,37.3
divIC,37.2
yvcN,37.1
manP,37.1
mccB,37.1
sunT,37.1
yfmF,36.9
yraH,36.9
yuzF,36.9
nupC,36.9
hutP,36.8
yczG,36.7
yvrO,36.7
ydeP,36.7
yfmD,36.7
rapA,36.7
csbD,36.7
ywgB,36.7
ybcF,36.6
yloC,36.5
mnmA,36.3
tsaD,36.3
ywqG,36.2
iolD,36.2
licT,36.1
yxlC,36.1
mhqA,36.1
ylxG,36
ygaO,36
recN,36
yopJ,35.9
ypsA,35.9
uppS,35.9
fliS,35.8
iolA,35.7
yxaF,35.7
glnQ,35.6
pheA,35.6
albC,35.6
iolG,35.6
BSU21610,35.6
yjfA,35.6
ypbR,35.5
ywrF,35.4
dfrA,35.2
ymxG,35.1
tatAy,35
ykyB,35
zur,35
spoIIAA,34.8
glnR,34.8
ywdF,34.7
ywtF,34.7
yfnC,34.6
coaD,34.5
yeaC,34.4
dgkA,34.4
yheH,34.4
yjdA,34.4
mnmE,34.2
resE,34.1
fliE,33.8
yxeO,33.7
yhgD,33.7
ykuM,33.6
rapC,33.6
yacL,33.5
efeN,33.4
yqfT,33.3
ypuI,33.3
ykyA,33.2
dus2,33.2
tagG,33.2
ydcK,33.2
yqcK,33.1
yebC,33
yneQ,33
kduD,32.9
yfnA,32.9
yuzA,32.9
dnaI,32.9
thyA1,32.9
acuB,32.8
yfiV,32.8
cwlS,32.7
rsmB,32.7
yxnB,32.6
ymfC,32.6
yrkA,32.6
BSU25000,32.6
pelC,32.5
yfjF,32.5
ylbC,32.5
yqcG,32.4
ymzA,32.4
ccdC,32.3
menG,32.2
resC,32.1
dnaX,32
ydhE,32
yusO,31.9
spoIIIAH,31.8
yvyI,31.6
ogt,31.6
yorH,31.6
ypiA,31.5
copA,31.5
hemY,31.5
BSU23080,31.4
ydhC,31.4
yrrM,31.4
sacP,31.3
pcrB,31.3
lrpC,31.2
yitA,31.2
rnz,31.1
sul,31.1
yyaK,31
ydiF,31
immR,31
yycI,30.9
yvaG,30.9
yrpB,30.8
pucE,30.8
arsR,30.8
yrbE,30.5
yoxC,30.5
